Zip;District;City;State;Region;Country
1008;"District #02";"Blandford, MA";"MA";"East";"USA"
1009;"District #02";"Bondsville, MA";"MA";"East";"USA"
1010;"District #02";"Brimfield, MA";"MA";"East";"USA"
1011;"District #01";"Chester, MA";"MA";"East";"USA"
1012;"District #02";"Chesterfield, MA";"MA";"East";"USA"
1013;"District #02";"Chicopee, MA";"MA";"East";"USA"
1014;"District #02";"Chicopee, MA";"MA";"East";"USA"
1020;"District #02";"Chicopee, MA";"MA";"East";"USA"
1021;"District #02";"Chicopee, MA";"MA";"East";"USA"
1022;"District #02";"Chicopee, MA";"MA";"East";"USA"
1026;"District #01";"Cummington, MA";"MA";"East";"USA"
1027;"District #02";"Easthampton, MA";"MA";"East";"USA"
1028;"District #02";"East Longmeadow, MA";"MA";"East";"USA"
1029;"District #01";"East Otis, MA";"MA";"East";"USA"
1030;"District #02";"Feeding Hills, MA";"MA";"East";"USA"
1031;"District #02";"Gilbertville, MA";"MA";"East";"USA"
1032;"District #02";"Goshen, MA";"MA";"East";"USA"
1033;"District #02";"Granby, MA";"MA";"East";"USA"
1034;"District #02";"Granville, MA";"MA";"East";"USA"
1035;"District #02";"Hadley, MA";"MA";"East";"USA"
1036;"District #02";"Hampden, MA";"MA";"East";"USA"
1037;"District #02";"Hardwick, MA";"MA";"East";"USA"
1038;"District #02";"Hatfield, MA";"MA";"East";"USA"
1039;"District #02";"Haydenville, MA";"MA";"East";"USA"
1040;"District #02";"Holyoke, MA";"MA";"East";"USA"
1041;"District #02";"Holyoke, MA";"MA";"East";"USA"
1050;"District #02";"Huntington, MA";"MA";"East";"USA"
1053;"District #02";"Leeds, MA";"MA";"East";"USA"
1054;"District #02";"Leverett, MA";"MA";"East";"USA"
1056;"District #02";"Ludlow, MA";"MA";"East";"USA"
1057;"District #02";"Monson, MA";"MA";"East";"USA"
1059;"District #02";"North Amherst, MA";"MA";"East";"USA"
1060;"District #02";"Northampton, MA";"MA";"East";"USA"
1061;"District #02";"Northampton, MA";"MA";"East";"USA"
1062;"District #02";"Florence, MA";"MA";"East";"USA"
1063;"District #02";"Northampton, MA";"MA";"East";"USA"
1066;"District #02";"North Hatfield, MA";"MA";"East";"USA"
1068;"District #02";"Oakham, MA";"MA";"East";"USA"
1069;"District #02";"Palmer, MA";"MA";"East";"USA"
1070;"District #01";"Plainfield, MA";"MA";"East";"USA"
1071;"District #02";"Russell, MA";"MA";"East";"USA"
1072;"District #02";"Shutesbury, MA";"MA";"East";"USA"
1073;"District #02";"Southampton, MA";"MA";"East";"USA"
1074;"District #02";"South Barre, MA";"MA";"East";"USA"
1075;"District #02";"South Hadley, MA";"MA";"East";"USA"
1077;"District #02";"Southwick, MA";"MA";"East";"USA"
1079;"District #02";"Thorndike, MA";"MA";"East";"USA"
1080;"District #02";"Three Rivers, MA";"MA";"East";"USA"
1081;"District #02";"Wales, MA";"MA";"East";"USA"
1082;"District #02";"Ware, MA";"MA";"East";"USA"
1083;"District #02";"Warren, MA";"MA";"East";"USA"
1084;"District #01";"West Chesterfield, MA";"MA";"East";"USA"
1085;"District #02";"Westfield, MA";"MA";"East";"USA"
1086;"District #02";"Westfield, MA";"MA";"East";"USA"
1088;"District #02";"West Hatfield, MA";"MA";"East";"USA"
1089;"District #02";"West Springfield, MA";"MA";"East";"USA"
1090;"District #02";"West Springfield, MA";"MA";"East";"USA"
1092;"District #02";"West Warren, MA";"MA";"East";"USA"
1093;"District #02";"Whately, MA";"MA";"East";"USA"
1094;"District #02";"Wheelwright, MA";"MA";"East";"USA"
1095;"District #02";"Wilbraham, MA";"MA";"East";"USA"
1096;"District #02";"Williamsburg, MA";"MA";"East";"USA"
1097;"District #02";"Woronoco, MA";"MA";"East";"USA"
1098;"District #01";"Worthington, MA";"MA";"East";"USA"
1101;"District #02";"Springfield, MA";"MA";"East";"USA"
1102;"District #02";"Springfield, MA";"MA";"East";"USA"
1103;"District #02";"Springfield, MA";"MA";"East";"USA"
1104;"District #02";"Springfield, MA";"MA";"East";"USA"
1105;"District #02";"Springfield, MA";"MA";"East";"USA"
1106;"District #02";"Longmeadow, MA";"MA";"East";"USA"
1107;"District #02";"Springfield, MA";"MA";"East";"USA"
1108;"District #02";"Springfield, MA";"MA";"East";"USA"
1109;"District #02";"Springfield, MA";"MA";"East";"USA"
1111;"District #02";"Springfield, MA";"MA";"East";"USA"
